disease,Localized Pain,Mobility and Muscular Issues,Gastrointestinal Discomfort,Localized Swelling,Cardiac Symptoms,Cognitive or Neurological Issues,Temperature Regulation Issues,Localized Tenderness,Skin Irritation or Abnormalities,Infections,Bleeding or Blood-Related Symptoms,Fatigue or Low Energy,Appetite and Weight Changes,Miscellaneous,Respiratory Issues,Sensory Issues,Vision and Hearing Issues,Mood and Behavioral Change,Bowel and Bladder Issues,Hair and Nail Abnormalities,Developmental Issues,urge to move
Osteoarthritis,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stillbirth,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Functional neurological disorder (FND),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soft tissue sarcomas,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mouth cancer,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spleen problems and spleen removal,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Urinary tract infection (UTI),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chronic kidney disease,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fever in adults,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bone cancer,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Syphilis,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Lung cancer,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Degenerative cervical myelopathy,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Swollen glands,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Non-alcoholic fatty liver disease (NAFLD),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erectile dysfunction (impotence),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Retinoblastoma,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Psychosis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bowel cancer,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Pubic lice,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Migraine,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Patau’s syndrome,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Neuroendocrine tumours,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
Pancreatic cancer,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Rosacea,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Tourette’s syndrome,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganglion cyst,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Constipation,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gallstones,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulimia,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Gallstones,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polio,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chronic pancreatitis,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Anxiety disorders in children,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Non-alcoholic fatty liver disease (NAFLD),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Head lice and nits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Itching,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipoedema,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast cancer (female),0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Menopause,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Respiratory syncytial virus (RSV),0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bile duct cancer (cholangiocarcinoma),1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Inherited heart conditions,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Inherited heart conditions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Multiple sclerosis (MS),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Acute cholecystitis,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Vitamin B12 or folate deficiency anaemia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Deafblindness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fibromyalgia,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Addison’s disease,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Addison’s disease,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Laryngeal (larynx) cancer,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Bowel polyps,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Degenerative cervical myelopathy,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Muscular dystrophy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronavirus (COVID-19),1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Liver cancer,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Personality disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Obstructive sleep apnoea,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Hives,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrush,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperglycaemia (high blood sugar),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Autism,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Streptococcus A (strep A),1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Panic disorder,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Supraventricular tachycardia,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Farting,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sore throat,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Sjogren’s syndrome,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Hyperglycaemia (high blood sugar),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Hydrocephalus,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cystitis,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Shingles,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Vulval cancer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Appendicitis,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dizziness (Lightheadedness),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Foetal alcohol syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Neuroblastoma,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Allergies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Discoid eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Minor head injury,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicose eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington’s disease,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bone cancer,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chronic kidney disease,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Hives,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfer's elbow,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meniere’s disease,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cold sore,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Feeling of something in your throat (Globus),1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Catarrh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Lichen planus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seasonal affective disorder (SAD),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Coronavirus (COVID-19),0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Postnatal depression,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Liver cancer,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Genital warts,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Achilles tendinopathy,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vomiting in adults,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venous leg ulcer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Benign prostate enlargement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Stress, anxiety and low mood",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Coronavirus (COVID-19),0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Tuberculosis (TB),0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Ankle avulsion fracture,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Obsessive compulsive disorder (OCD),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Escherichia coli (E. coli) O157,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Acute cholecystitis,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anal cancer,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Shortness of breath,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Lumbar stenosis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Obsessive compulsive disorder (OCD),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Long-term effects of COVID-19,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Cirrhosis,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Mesothelioma,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Muscular dystrophy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dementia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cirrhosis,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Dysphagia (swallowing problems),1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Head lice and nits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Croup,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Blood poisoning (sepsis),0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pubic lice,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Toothache,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Hepatitis A,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Bowel cancer,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Measles,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Breast cancer (male),1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Tuberculosis (TB),0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Whooping cough,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ganglion cyst,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis A,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Osteoarthritis of the hip,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tick bites,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glandular fever,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Postural orthostatic tachycardia syndrome (PoTS),0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Slapped cheek syndrome,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Acute myeloid leukaemia,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Vertigo,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glandular fever,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Dry mouth,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningitis,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cerebral palsy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Malaria,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Type 2 diabetes,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Hyperhidrosis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ankylosing spondylitis,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Slapped cheek syndrome,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Eye cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Polio,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Testicular cancer,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicose eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute lymphoblastic leukaemia,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Obstructive sleep apnoea,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Acute pancreatitis,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laryngeal (larynx) cancer,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Gum disease,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dehydration,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Schizophrenia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Iron deficiency anaemia,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Anxiety,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Bile duct cancer (cholangiocarcinoma),1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Psoriasis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Asbestosis,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Transverse myelitis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Threadworms,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Mouth ulcer,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arterial thrombosis,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Streptococcus A (strep A),1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Wolff-Parkinson-White syndrome,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney stones,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Breast cancer (male),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Laryngitis,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Yellow fever,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Loss of libido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Hodgkin lymphoma,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Bacterial vaginosis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Coronary heart disease,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Earwax build-up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Long-term effects of COVID-19,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pubic lice,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nasal and sinus cancer,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Brain tumours,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Genital symptoms,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast cancer (male),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
Allergic rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bronchiectasis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabetic retinopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shortness of breath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bone cancer,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Threadworms,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
Liver tumours,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Itchy skin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingrown toenail,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Leg cramps,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumps,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tonsillitis,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Chlamydia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fibromyalgia,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gallstones,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic myeloid leukaemia,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Chilblains,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectopic pregnancy,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Malignant brain tumour (cancerous),1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lymphogranuloma venereum (LGV),1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Chlamydia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Malnutrition,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Gout,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver cancer,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Gum disease,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Ankle sprain,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
